extension_id,metadata_comment,metadata_severity,metadata_category,metadata_reference
humy2833.ftp-simple,"ftp-simple: simple FTP/SFTP client - stored credentials - file transfer to arbitrary servers",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=humy2833.ftp-simple
suntobright.vscode-sftp,"VS Code SFTP: edit remote Linux files directly in VS Code - direct file system access to remote hosts",medium,risky-file-transfer,https://marketplace.visualstudio.com/items?itemName=suntobright.vscode-sftp
amazonwebservices.aws-toolkit-vscode,"AWS Toolkit: full AWS integration Lambda S3 CloudWatch ECS - browse and manage AWS resources from VS Code - uses AWS credentials from ~/.aws - can deploy modify and delete cloud resources",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=amazonwebservices.aws-toolkit-vscode
ms-azuretools.vscode-azureresourcegroups,"Azure Resources: browse and manage Azure resources directly from VS Code - Azure subscription access from IDE - can view and manage cloud resources",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azureresourcegroups
ms-azuretools.vscode-azurefunctions,"Azure Functions: create deploy and manage Azure Functions from VS Code - deploys code to cloud - Azure credential access",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azurefunctions
ms-azuretools.vscode-docker,"Docker: build manage and deploy containers from VS Code - access to Docker daemon - can run arbitrary containers with network and filesystem access",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-docker
ms-kubernetes-tools.vscode-kubernetes-tools,"Kubernetes: manage Kubernetes clusters from VS Code - kubectl access - can deploy modify and delete workloads - access to cluster secrets and configmaps",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-kubernetes-tools.vscode-kubernetes-tools
GoogleCloudTools.cloudcode,"Cloud Code: Google Cloud Platform integration - deploy to GKE Cloud Run - manage APIs and resources - uses gcloud credentials",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=GoogleCloudTools.cloudcode
mtxr.sqltools,"SQLTools: database management tool - connect to MySQL PostgreSQL SQLite SQL Server - execute queries and browse schemas - stores database credentials in VS Code settings",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=mtxr.sqltools
cweijan.vscode-database-client2,"Database Client: database client for MySQL PostgreSQL MongoDB Redis ElasticSearch - full CRUD operations - broad database access with stored credentials",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=cweijan.vscode-database-client2
mongodb.mongodb-vscode,"MongoDB for VS Code: connect to MongoDB instances - browse collections run queries manage databases - connection strings with credentials stored in VS Code",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=mongodb.mongodb-vscode
cweijan.vscode-redis-client,"Redis Client: Redis database client - browse keys execute commands monitor Redis instances - Redis often stores session tokens cache data and application secrets",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=cweijan.vscode-redis-client
ms-ossdata.vscode-postgresql,"PostgreSQL: Microsoft PostgreSQL client - execute queries browse schemas - stores connection credentials",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=ms-ossdata.vscode-postgresql
rangav.vscode-thunder-client,"Thunder Client: REST API client with auth credential storage - not open source - credentials go through closed-source code - stored API keys and tokens in collections",medium,risky-api-client,https://marketplace.visualstudio.com/items?itemName=rangav.vscode-thunder-client
Postman.postman-for-vscode,"Postman: API development and testing platform - requires Postman account login - syncs requests and credentials to Postman cloud - auth tokens and API keys stored in collections",medium,risky-api-client,https://marketplace.visualstudio.com/items?itemName=Postman.postman-for-vscode
humao.rest-client,"REST Client: send HTTP requests directly from VS Code - can interact with any API endpoint - auth credentials stored in .http files often committed to repos",low,risky-api-client,https://marketplace.visualstudio.com/items?itemName=humao.rest-client
GitHub.copilot,"GitHub Copilot: AI code assistant - sends code context to GitHub/OpenAI servers for completions - source code transmitted to external cloud - may include proprietary code and secrets in context",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=GitHub.copilot
GitHub.copilot-chat,"GitHub Copilot Chat: AI chat assistant with codebase awareness - sends code context and questions to cloud - can access workspace files and terminal output",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=GitHub.copilot-chat
Continue.continue,"Continue: open-source AI code assistant - sends code context to LLM providers (OpenAI Anthropic Ollama) for completions and chat - codebase context shared with third-party providers",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=Continue.continue
TabNine.tabnine-vscode,"Tabnine AI: AI code completion - analyzes codebase and sends context to Tabnine cloud - source code context sent to external cloud for AI processing",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=TabNine.tabnine-vscode
Codeium.codeium,"Codeium: free AI code completion and chat - sends code context to Codeium servers - free tier with broad data collection terms",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=Codeium.codeium
Supermaven.supermaven,"Supermaven: AI code completion - sends code context to Supermaven cloud for fast completions - external processing of source code",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=Supermaven.supermaven
saoudrizwan.claude-dev,"Cline (Claude Dev): autonomous AI coding agent - reads writes and executes code - can run terminal commands - creates files and modifies codebase - sends context to LLM APIs",high,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=saoudrizwan.claude-dev
RooVeterinaryInc.roo-cline,"Roo Code (Roo-Cline): autonomous AI coding agent - full filesystem and terminal access - executes commands and modifies code - sends context to external LLM providers",high,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=RooVeterinaryInc.roo-cline
ms-azuretools.vscode-azurestorage,"Azure Storage: browse and manage Azure Blob File Queue Table storage from VS Code - access to cloud storage resources - can upload download and delete data",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-azurestorage
eamodio.gitlens,"GitLens: supercharged Git capabilities - full access to git history commits and diffs - can access all repository data including historical secrets committed and later removed",low,risky-git-access,https://marketplace.visualstudio.com/items?itemName=eamodio.gitlens
GitHub.vscode-pull-request-github,"GitHub Pull Requests: manages PRs and issues from VS Code - GitHub OAuth token access - can create modify and merge pull requests",low,risky-git-access,https://marketplace.visualstudio.com/items?itemName=GitHub.vscode-pull-request-github
formulahendry.code-runner,"Code Runner: executes code in 40+ languages from VS Code with one click - runs arbitrary scripts with full system privileges - can execute any file type including shell scripts and binaries",high,risky-code-execution,https://marketplace.visualstudio.com/items?itemName=formulahendry.code-runner
ms-mssql.mssql,"SQL Server (MSSQL): connect to SQL Server Azure SQL and Fabric SQL databases - execute queries browse schemas export data - stores connection credentials including passwords",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=ms-mssql.mssql
Oracle.sql-developer,"Oracle SQL Developer: end-to-end Oracle database development - execute SQL/PLSQL browse schemas manage objects - stores Oracle database credentials",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=Oracle.sql-developer
ms-toolsai.jupyter,"Jupyter Notebooks: execute arbitrary code in Python R Julia and more - can connect to remote Jupyter kernels - full code execution environment with network and filesystem access",medium,risky-code-execution,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter
sourcegraph.cody-ai,"Cody AI (Sourcegraph): AI code assistant with full codebase context - indexes and sends repository code to Sourcegraph cloud - code search across all repositories",medium,risky-ai-code-access,https://marketplace.visualstudio.com/items?itemName=sourcegraph.cody-ai
ms-vscode.PowerShell,"PowerShell: full PowerShell execution environment in VS Code - runs scripts with system privileges - access to all Windows management APIs and .NET framework",medium,risky-code-execution,https://marketplace.visualstudio.com/items?itemName=ms-vscode.PowerShell
ritwickdey.LiveServer,"Live Server: launches local HTTP/HTTPS server exposing workspace files - serves files on a network-accessible port - can expose source code and sensitive files to the local network",low,risky-code-execution,https://marketplace.visualstudio.com/items?itemName=ritwickdey.LiveServer
ms-vscode.azure-account,"Azure Account: Azure authentication and subscription management - stores Azure OAuth tokens - provides credential access to all Azure-related extensions",medium,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=ms-vscode.azure-account
Kelvin.vscode-sshfs,"SSH FS: mount remote filesystems over SSH directly in VS Code workspace - persistent SSH connections - stored SSH credentials and keys",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=Kelvin.vscode-sshfs
ms-azuretools.vscode-cosmosdb,"Azure Databases (CosmosDB): manage Azure Cosmos DB and MongoDB accounts - browse databases and collections - execute queries with stored credentials",medium,risky-database-access,https://marketplace.visualstudio.com/items?itemName=ms-azuretools.vscode-cosmosdb
redhat.vscode-xml,"YAML/XML with schema validation (Red Hat): not directly risky but commonly used for Kubernetes and cloud infrastructure configuration - may expose infrastructure details",low,risky-infrastructure,https://marketplace.visualstudio.com/items?itemName=redhat.vscode-yaml
tilt-dev.tiltfile,"Tilt: Kubernetes local development with live updates - deploys to local and remote k8s clusters - manages container builds and deployments",medium,risky-infrastructure,https://marketplace.visualstudio.com/items?itemName=tilt-dev.tiltfile
Pulumi.pulumi-vscode,"Pulumi: infrastructure as code - create modify and destroy cloud resources from VS Code - access to cloud provider credentials (AWS Azure GCP)",medium,risky-infrastructure,https://marketplace.visualstudio.com/items?itemName=Pulumi.pulumi-vscode
boto3.vscode-boto3,"AWS boto3: Python AWS SDK integration - autocomplete for AWS API calls - used with AWS credentials for cloud resource management",low,risky-cloud-access,https://marketplace.visualstudio.com/items?itemName=Boto3.boto3
coder.coder-remote,"Coder Remote: connect to Coder cloud development environments - remote workspaces outside corporate network - full terminal and filesystem access on remote VMs",medium,risky-remote-access,https://marketplace.visualstudio.com/items?itemName=coder.coder-remote
