permission,permission_type,permission_id,display_name,description,admin_consent_required,severity,severity_score,privileged,risk_family,resource,operation,constraint,scope_model,broad_scope,limited_or_resource_scoped,write_capability,read_capability,delete_capability,send_or_impersonation_capability,privilege_assignment_capability,control_plane,auth_or_credential_surface,business_data_exposure,security_data_exposure,device_management_surface,destructive_capability,recommended_handling,least_privilege_hint,risk_rationale,source,source_section,source_url,catalog_date,programmatic_catalog_query,risk_model,notes
MailboxFolder.ReadWrite.All,Application,fef87b92-8391-4589-9da7-eb93dab7dc8a,Read and write all the users' mailbox folders,"Allows the app to read and write all the users' mailbox folders, without signed-in user.",Yes,High,67,true,Business data / collaboration data,MailboxFolder,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
MailboxItem.ImportExport.All,Application,76577085-e73d-4f1d-b26a-85fb33892327,Allows the app to perform backup and restore for all mailbox items,"Allows the app to backup, restore, and modify all mailbox items without a signed-in user.",Yes,High,67,true,Business data / collaboration data,MailboxItem,ImportExport,All,Tenant-wide app permission,true,false,true,false,true,false,false,false,false,true,false,false,true,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; business/collaboration/user data exposure; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Notes.ReadWrite.All,Application,0c458cef-11f3-48c2-a568-c66751c238c0,Read and write all OneNote notebooks,"Allows the app to read all the OneNote notebooks in your organization, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,Notes,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
OnlineMeetings.ReadWrite.All,Application,b8bb2037-6e08-44ac-a4ea-4674e010e2a4,Read and create online meetings,Allows the app to read and create online meetings as an application in your organization.,Yes,High,67,true,Teams / collaboration / meetings,OnlineMeetings,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
PendingExternalUserProfile.ReadWrite.All,Application,8363c2b8-6ff7-420b-9966-c5884c2d48bc,Read and write all pending external user profiles,"Allows the app to read and write available properties of pending external user profiles, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,PendingExternalUserProfile,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Place.ReadWrite.All,Application,f1f5e9aa-ad18-4b97-883e-6aa7e95b7a5f,Read and write organization places,"Allows the app to manage organization places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.",Yes,High,67,true,Business data / collaboration data,Place,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Presence.ReadWrite.All,Application,83cded22-8297-4ff6-a7fa-e97e9545a259,Read and write presence information for all users,"Allows the app to read all presence information and write activity and availability of all users in the directory without a signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, time zone and location.",Yes,High,67,true,Business data / collaboration data,Presence,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
ProfilePhoto.ReadWrite.All,Application,27baa7f6-5dfb-4ba8-b1d3-1e812c143013,Read and write profile photo of a user or group,"Allows the app to read and write all profile photos of users and groups, without a signed-in user",Yes,High,67,true,Business data / collaboration data,ProfilePhoto,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
ReportSettings.ReadWrite.All,Application,2a60023f-3219-47ad-baa4-40e17cd02a1d,Read and write all admin report settings,"Allows the app to read and update all admin report settings, such as whether to display concealed information in reports, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,ReportSettings,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
Schedule.ReadWrite.All,Application,b7760610-0545-4e8a-9ec3-cce9e63db01c,Read and write all schedule items,"Allows the app to manage all schedules, schedule groups, shifts and associated entities in the Teams or Shifts application without a signed-in user.",Yes,High,67,true,Business data / collaboration data,Schedule,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
SharePointTenantSettings.ReadWrite.All,Application,19b94e34-907c-4f43-bde9-38b1909ed408,Read and change SharePoint and OneDrive tenant settings,"Allows the application to read and change the tenant-level settings of SharePoint and OneDrive, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,SharePointTenantSettings,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamSettings.ReadWrite.All,Application,bdd80a03-d9bc-451d-b7c4-ce7c63fe3c8f,Read and change all teams' settings,"Read and change all teams' settings, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamSettings,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteSelfForChat.All,Application,73a45059-f39c-4baf-9182-4954ac0e55cf,Allow the Teams app to manage itself for all chats,"Allows a Teams app to read, install, upgrade, and uninstall itself for any chat, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsAppInstallation,ReadWriteSelfForChat,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteSelfForTeam.All,Application,9f67436c-5415-4e7f-8ac1-3014a7132630,Allow the Teams app to manage itself for all teams,"Allows a Teams app to read, install, upgrade, and uninstall itself in any team, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsAppInstallation,ReadWriteSelfForTeam,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsAppInstallation.ReadWriteSelfForUser.All,Application,908de74d-f8b2-4d6b-a9ed-2a17b3b78179,Allow the app to manage itself for all users,"Allows a Teams app to read, install, upgrade, and uninstall itself to any user, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsAppInstallation,ReadWriteSelfForUser,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsPolicyUserAssign.ReadWrite.All,Application,1801e8f4-cf09-4c4e-a1b5-036dfcca6c90,Read and Write Teams policy user assignment and unassigment for all policy types.,Allow the app to read or write/update the policy assignment and unassigment for Teams users for all policy type categories.,Yes,High,67,true,Teams / collaboration / meetings,TeamsPolicyUserAssign,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWrite.All,Application,a96d855f-016b-47d7-b51c-1218a98d791c,Read and write tabs in Microsoft Teams.,"Read and write tabs in any team in Microsoft Teams, without a signed-in user. This does not give access to the content inside the tabs.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteForChat.All,Application,fd9ce730-a250-40dc-bd44-8dc8d20f39ea,Allow the Teams app to manage all tabs for all chats,"Allows a Teams app to read, install, upgrade, and uninstall all tabs for any chat, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteForChat,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteForTeam.All,Application,6163d4f4-fbf8-43da-a7b4-060fe85ed148,Allow the Teams app to manage all tabs for all teams,"Allows a Teams app to read, install, upgrade, and uninstall all tabs in any team, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteForTeam,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteForUser.All,Application,425b4b59-d5af-45c8-832f-bb0b7402348a,Allow the app to manage all tabs for all users,"Allows a Teams app to read, install, upgrade, and uninstall all tabs for any user, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteForUser,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteSelfForChat.All,Application,9f62e4a2-a2d6-4350-b28b-d244728c4f86,Allow the Teams app to manage only its own tabs for all chats,"Allows a Teams app to read, install, upgrade, and uninstall its own tabs for any chat, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteSelfForChat,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteSelfForTeam.All,Application,91c32b81-0ef0-453f-a5c7-4ce2e562f449,Allow the Teams app to manage only its own tabs for all teams,"Allows a Teams app to read, install, upgrade, and uninstall its own tabs in any team, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteSelfForTeam,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTab.ReadWriteSelfForUser.All,Application,3c42dec6-49e8-4a0a-b469-36cff0d9da93,Allow the Teams app to manage only its own tabs for all users,"Allows a Teams app to read, install, upgrade, and uninstall its own tabs for any user, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTab,ReadWriteSelfForUser,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamsTelephoneNumber.ReadWrite.All,Application,0a42382f-155c-4eb1-9bdc-21548ccaa387,Read and Modify Tenant-Acquired Telephone Number Details,"Allows the app to read your tenant's acquired telephone number details, without a signed-in user. Acquired telephone numbers may include attributes related to assigned object, emergency location, network site, etc.",Yes,High,67,true,Teams / collaboration / meetings,TeamsTelephoneNumber,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamworkAppSettings.ReadWrite.All,Application,ab5b445e-8f10-45f4-9c79-dd3f8062cc4e,Read and write Teams app settings,Allows the app to read and write the Teams app settings without a signed-in user.,Yes,High,67,true,Teams / collaboration / meetings,TeamworkAppSettings,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamworkSection.ReadWrite.All,Application,fd99f9da-42d6-4d00-8a41-4161bea42309,Read and write all users' sections,"Allows the app to read and write all users' sections (folders) for organizing chats and channels in Teams, without a signed-in user.",Yes,High,67,true,Teams / collaboration / meetings,TeamworkSection,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TeamworkTag.ReadWrite.All,Application,a3371ca5-911d-46d6-901c-42c8c7a937d8,Read and write tags in Teams,Allows the app to read and write tags in Teams without a signed-in user.,Yes,High,67,true,Teams / collaboration / meetings,TeamworkTag,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,Prefer Teams RSC permissions scoped to the exact chat/team/user where possible.,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
TermStore.ReadWrite.All,Application,f12eb8d6-28e3-46e6-b2c0-b7e4dc69fc95,Read and write all term store data,"Allows the app to read, edit or write all term store data, without a signed-in user. This includes all sets, groups and terms in the term store.",Yes,High,67,true,Business data / collaboration data,TermStore,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
User-Mail.ReadWrite.All,Application,280d0935-0796-47d1-8d26-273470a3f17a,Read and write all secondary mail addresses for users,"Allows the app to read and write secondary mail addresses for all users, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,User-Mail,ReadWrite,All,Tenant-wide app permission,true,false,true,true,false,false,false,false,false,true,false,false,false,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; business/collaboration/user data exposure; broad app-only data extraction potential; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
User.DeleteRestore.All,Application,eccc023d-eccf-4e7b-9683-8813ab36cecc,Delete and restore all users,"Allows the app to delete and restore all users, without a signed-in user.",Yes,High,67,true,Business data / collaboration data,User,DeleteRestore,All,Tenant-wide app permission,true,false,true,false,true,false,false,false,false,true,false,false,true,Security review required / restrict to approved apps,,app-only token/no signed-in user context; admin consent required; tenant/org/all scope; write/manage/action capability; delete/full-control/destructive capability; business/collaboration/user data exposure; broad app-only data modification potential,Microsoft Graph permissions reference,All permissions,https://learn.microsoft.com/en-us/graph/permissions-reference,06/15/2026,"GET https://graph.microsoft.com/v1.0/servicePrincipals(appId='00000003-0000-0000-c000-000000000000')?$select=id,appId,displayName,appRoles,oauth2PermissionScopes,resourceSpecificApplicationPermissions",heuristic_v2_soc_identity_2026-06-18,
